FirstName,Surname,DateOfBirth,Street,City,PostalCode,Country,Phone,Iban
Sisko,Särkelä,2000-11-25,Kirkkokatu 57,Tampere,29565,FI,+358956878339,FI4680470505551351
Günther,Brühl,1969-11-02,Rosenstraße 15,Hamburg,77272,DE,+49679087406,DE40202047508942116793
Møgens,Rønne,1989-03-14,Østergade 175,Odense,2943,DK,+45286823004,DK6147432411870669
Åse,Kjærgaard,1962-05-15,Sønderbro 9,Randers,5009,DK,+45067383028,DK6192955782895425
Pöyry,Rönkkö,1988-11-24,Länsiväylä 127,Helsinki,92787,FI,+358685662462,FI2774837895951226
Åse,Kærgaard,1982-01-31,Blågårdsgade 49,København,7179,DK,+45990139837,DK7029392177796732
Wolfgang,Görlitz,1981-06-19,Brühlstraße 92,Berlin,57139,DE,+49877175355,DE36452129541338466289
Pöyry,Höglund,1974-07-06,Hämeenkatu 36,Lahti,79757,FI,+358080100623,FI1401240699605407
Väinämö,Rönkkö,1966-08-23,Rautatienkatu 46,Espoo,77252,FI,+358339845461,FI2434592686870350
Agnieszka,Wojcik,1966-07-22,Brühlstraße 85,Lübeck,79226,DE,+49033974014,DE87850939577301283837
Günther,Brühl,1966-10-06,Grünstraße 89,München,67290,DE,+49315999650,DE19674253153722023713
Sofia,Marchetti,1969-11-20,Gänseblümchenweg 70,Köln,21442,DE,+49267888610,DE18055780477592561221
Röschen,Kühn,1980-07-31,Löwenplatz 20,Frankfurt am Main,42321,DE,+49799371240,DE34936833889139239926
Cäcilie,Grün,1990-09-30,Kirchgasse 72,Stuttgart,24927,DE,+49939828073,DE45426874462677094459
Sisko,Örnberg,1967-10-24,Kauppakatu 164,Espoo,41773,FI,+358529096561,FI4202555543755301
Jörg,Krüger,1998-11-07,Gänseblümchenweg 80,Frankfurt am Main,37114,DE,+49875717751,DE58381866192115924164
Rüdiger,Vogtländer,1958-05-26,Wächterweg 110,Stuttgart,38153,DE,+49341918255,DE48116493331341689563
Olga,Hassan,1970-05-15,Lindenallee 100,Stuttgart,85340,DE,+49662782827,DE40218689413564474157
Linh,Petrov,2002-06-09,Königsallee 118,Lübeck,82053,DE,+49819148580,DE71742476280280818276
Råsmus,Løvgren,1976-07-26,Sønderbro 36,Aalborg,1972,DK,+45958498254,DK8322896097998182
Jukka,Lindström,1995-03-01,Hämeenkatu 148,Oulu,58562,FI,+358116845775,FI5158809668739843
Sören,Nüsslein,1962-05-06,Jägerweg 125,Frankfurt am Main,16021,DE,+49170127706,DE98261619262391336267
Sören,Nüsslein,1958-11-01,Schäferweg 133,Hamburg,11056,DE,+49516271361,DE30713817719150647614
Sölvi,Mäkelä,1989-07-16,Hämeenkatu 32,Kuopio,64422,FI,+358234138999,FI2029088261367723
Günther,Brühl,1986-05-24,Kühnstraße 4,Frankfurt am Main,27299,DE,+49696582710,DE59502993277446510099
Björg,Köhler,1979-05-30,Müllerstraße 179,Stuttgart,17589,DE,+49316179904,DE81661010435823787183
Andrä,Nüsslein,1998-11-02,Brühlstraße 20,Hamburg,76949,DE,+49507925241,DE33861708003919087622
Åse,Møgelvang,1974-02-02,Bredgade 31,København,4656,DK,+45806174451,DK7950253645471972
Cäcilie,Görlitz,1988-01-21,Gänseblümchenweg 163,München,10191,DE,+49641383670,DE88912028484755635061
Jörn,Grün,1978-12-16,Gänseblümchenweg 116,Berlin,19789,DE,+49329121277,DE27313744808376281793
Käthe,Müller,1980-06-01,Kirchgasse 116,Würzburg,22415,DE,+49712100323,DE43836652800941983041
Jukka,Lindström,1973-07-03,Mannerheimintie 98,Kuopio,55319,FI,+358244720999,FI6222450211856879
Kirsten,Vestergård,1992-11-04,Bredgade 145,Kolding,5430,DK,+45205930407,DK9057991628909287
Käthe,Schröder,1990-03-10,Schäferweg 152,Frankfurt am Main,87537,DE,+49059929378,DE11340225092179830597
Åse,Åkerlund,1967-01-24,Blågårdsgade 170,Vejle,6514,DK,+45452267528,DK3169725136179939
Zeynep,Novak,1967-05-05,Ærøvej 157,Aalborg,9129,DK,+45251355215,DK0542202103798435
Björg,Röder,1960-12-30,Königsallee 116,Köln,48654,DE,+49054115262,DE54758056409181121677
Cäcilie,Bäcker,2002-01-17,Hauptstraße 101,Lübeck,30131,DE,+49050614973,DE02026941748263331042
Kjeld,Kjærgaard,1995-02-21,Østergade 172,Kolding,4727,DK,+45806868793,DK2540975986617199
Giulia,Popescu,1971-04-08,Kløvervej 112,Aalborg,5225,DK,+45511686854,DK2559075711559117
Ærlig,Østrup,2000-06-09,Strøget 99,Randers,1613,DK,+45246299606,DK2983279808324608
Wolfgang,Grün,1966-01-04,Müllerstraße 107,Lübeck,34633,DE,+49736785082,DE38074755182000313439
Ritva,Särkelä,1989-05-18,Ratakatu 46,Lahti,54267,FI,+358414060293,FI7486624077096602
Bodil,Østrup,1980-08-10,Åboulevard 90,Randers,4575,DK,+45748969108,DK5199855264323269
Hassan,Ivanov,1986-09-03,Mannerheimintie 154,Kuopio,97243,FI,+358074466609,FI1375172579658881
Ahmed,Nguyen,1977-12-09,Brühlstraße 86,Köln,56567,DE,+49346554947,DE78848590858320812459
Käthe,Köhler,1986-02-12,Rosenstraße 86,Düsseldorf,93165,DE,+49007432927,DE45771444405798750072
Åge,Rønne,1972-12-25,Rådhuspladsen 151,Esbjerg,2069,DK,+45044789856,DK2489393199427175
Björn,Jäger,1962-05-12,Kühnstraße 164,Berlin,87846,DE,+49010016761,DE10541663662618171111
Matthäus,Hübner,1972-05-22,Gänseblümchenweg 105,Berlin,15164,DE,+49873753001,DE43986105712292401028
Jörg,Schäfer,1987-06-27,Hauptstraße 36,Düsseldorf,56861,DE,+49794155216,DE37448644811798194546
Kjeld,Vestergård,1997-07-15,Frederiksberggade 29,Vejle,1753,DK,+45145089935,DK0356647466188609
Ritva,Näätänen,1979-08-12,Aleksanterinkatu 126,Jyväskylä,52384,FI,+358083866317,FI1945043970405879
Örn,Pöyhönen,1988-07-31,Näätätie 172,Lahti,56945,FI,+358037589975,FI3471723892570117
Zeynep,Rossi,1977-05-05,Kirkkokatu 31,Kuopio,68944,FI,+358351609177,FI3769145098459157
Günter,Wächter,1992-07-05,Kühnstraße 83,Würzburg,64875,DE,+49934654722,DE37477278796262369695
Örjan,Höglund,1983-08-27,Länsiväylä 123,Kuopio,64927,FI,+358081062003,FI0727961072534665
Jörn,Röder,1962-03-20,Lindenallee 179,Berlin,60014,DE,+49665800439,DE79884267357171490971
Andrä,Krüger,1958-07-04,Königsallee 150,Berlin,53327,DE,+49720259094,DE69453732105450223327
Väinö,Mäkelä,1979-07-25,Näätätie 89,Lahti,92728,FI,+358930561648,FI8570575542630097
Ilkkä,Pöyhönen,1967-04-29,Jääkarhuntie 176,Kuopio,36650,FI,+358612075011,FI0507552236406566
Åse,Åkerlund,1985-01-13,Rådhuspladsen 28,Esbjerg,2417,DK,+45476607283,DK2513759169773955
Zeynep,Demir,1985-05-03,Lindenallee 141,Köln,37532,DE,+49536822239,DE86811788994520074316
Rüdiger,Grün,1985-06-04,Rosenstraße 116,Frankfurt am Main,86568,DE,+49299556205,DE54227481784335168815
Günther,Köhler,1960-10-19,Kühnstraße 5,Würzburg,86269,DE,+49969308488,DE91473277245356886154
Sören,Kühn,2001-10-01,Gänseblümchenweg 11,Nürnberg,40375,DE,+49145303856,DE76440937588251636853
Ærlig,Åkerlund,2003-01-09,Frederiksberggade 124,København,3276,DK,+45723184322,DK7516864316456421
Hassan,Kowalski,1972-12-03,Kauppakatu 38,Helsinki,43284,FI,+358869904137,FI0764424157651695
Sören,Bäcker,2003-04-01,Hauptstraße 52,Würzburg,99701,DE,+49629127990,DE91857069509644864947
Björg,Bäcker,2000-10-21,Kirchgasse 35,Berlin,40475,DE,+49149864300,DE70510663316284326747
Renée,Kühn,1988-11-22,Müllerstraße 79,Lübeck,62183,DE,+49213721386,DE80786603688460236794
Eija,Järvinen,1997-05-20,Rautatienkatu 45,Lahti,11306,FI,+358843098839,FI7910201973355700
Björg,Weiß,1975-06-15,Gänseblümchenweg 71,Nürnberg,69606,DE,+49690426818,DE20029898856957794450
Linh,Ivanov,1989-09-05,Löwenplatz 81,Stuttgart,77699,DE,+49804341651,DE32513251791722228837
Agnieszka,Yılmaz,2001-04-08,Löwenplatz 139,München,58653,DE,+49957947284,DE57371549038741530631
Käthe,Görlitz,2000-04-15,Müllerstraße 61,Berlin,90358,DE,+49552763655,DE61821152022431918149
Ejnar,Vestergård,1993-09-28,Strøget 65,København,2621,DK,+45203471754,DK9835920189156173
Reijo,Hämäläinen,1999-08-10,Käpyläntie 158,Oulu,90248,FI,+358256996112,FI5733676387975418
Andrä,Köhler,1967-03-30,Schäferweg 43,Stuttgart,22524,DE,+49178006811,DE54216832261806834952
Renée,Schröder,1997-01-09,Wächterweg 153,Hamburg,78610,DE,+49845783174,DE46323088340994042203
Jörn,Röder,1991-12-12,Königsallee 166,Stuttgart,38913,DE,+49416389448,DE71848126626100511277
Agnieszka,Rossi,2002-09-18,Gänseblümchenweg 108,Berlin,58679,DE,+49705120461,DE71518230973929170623
Ærenlund,Møller,1980-09-22,Blågårdsgade 141,Aarhus,8884,DK,+45435031365,DK4207532956617246
Björn,Schäfer,1967-08-21,Gänseblümchenweg 166,Düsseldorf,26492,DE,+49735857306,DE36318442611372895012
Jürgen,Brühl,1990-08-31,Kirchgasse 48,München,91290,DE,+49351863878,DE98124306091011063465
Günther,Müller,1965-03-05,Kühnstraße 54,Hamburg,71349,DE,+49058650948,DE53003990751526174163
Jörg,Schröder,1994-01-10,Löwenplatz 47,Würzburg,76151,DE,+49528975585,DE22846832535734900201
Linh,Rossi,1982-10-04,Skovgårdsvej 81,København,9376,DK,+45899210752,DK0813528039777186
Eija,Söderholm,1965-01-15,Mannerheimintie 148,Kuopio,17889,FI,+358556613906,FI4205353616997504
Ivan,Popescu,1993-10-24,Frederiksberggade 147,København,5301,DK,+45168622783,DK1246167207390643
Jürgen,Böhm,1997-09-03,Königsallee 90,Lübeck,91681,DE,+49270335211,DE26726182383437257569
Jukka,Nyström,1980-12-01,Näätätie 135,Helsinki,31161,FI,+358439407016,FI2366931283957945
Piotr,Yılmaz,1985-05-10,Hauptstraße 64,Würzburg,53721,DE,+49762055543,DE25992023999923317568
Kalevi,Häkkinen,1998-04-19,Käpyläntie 80,Jyväskylä,79234,FI,+358329832482,FI7249765105718103
Kjærstin,Bæklund,1971-08-20,Blågårdsgade 164,Esbjerg,4079,DK,+45122099499,DK1565200718461341
Jürgen,Fürst,1976-05-09,Kirchgasse 57,Nürnberg,18668,DE,+49279757366,DE10768739556701488259
Björn,Hübner,1985-04-28,Müllerstraße 113,Stuttgart,47475,DE,+49726490827,DE38847179614415724269
Åge,Østergaard,1965-08-27,Østergade 116,Kolding,9582,DK,+45689268602,DK4595618174374611
Andrä,Müller,1958-07-08,Rosenstraße 128,Hamburg,89689,DE,+49733977671,DE93608268210310563019
Günter,Nüsslein,1998-11-07,Löwenplatz 144,Düsseldorf,85886,DE,+49501455616,DE39804183422059507677
Andrä,Brühl,1969-08-21,Wächterweg 160,Frankfurt am Main,90516,DE,+49978772934,DE96900618794356022735
Ivan,Novak,1960-08-12,Kirchgasse 146,Lübeck,33020,DE,+49355770272,DE28685374782735267839
Marco,Nguyen,1974-10-24,Wächterweg 156,Stuttgart,88012,DE,+49145046173,DE72383513020579134833
Hassan,Hassan,1992-10-09,Kongensgade 10,Randers,9558,DK,+45104091570,DK0417707622257621
Renée,Brühl,1989-06-06,Bahnhofstraße 53,Würzburg,82006,DE,+49542493214,DE64634146104155866387
Reijo,Nyström,1966-09-23,Hämeenkatu 24,Lahti,68417,FI,+358773329456,FI4719383401482355
Jörg,Grün,1985-02-07,Lindenallee 167,Köln,79828,DE,+49769639382,DE03933857475260954545
Marco,Popescu,1987-05-17,Sønderbro 28,Vejle,9098,DK,+45013290227,DK1553516359394930
Jörn,Krüger,1991-02-15,Jägerweg 76,München,81943,DE,+49008514036,DE53733335641398196100
Sirpa,Häkkinen,1998-11-30,Aleksanterinkatu 36,Kuopio,99718,FI,+358692786876,FI5531658254539571
Sören,Brühl,2004-05-18,Jägerweg 72,Hamburg,20254,DE,+49891371894,DE02695049533921653726
Häkkinen,Särkelä,1965-05-27,Mannerheimintie 74,Lahti,26617,FI,+358144294440,FI2276976317215099
Ritva,Rönkkö,1997-06-28,Rautatienkatu 99,Turku,91271,FI,+358395041027,FI0533775374180946
Bjørn,Kjærgaard,1996-09-26,Rådhuspladsen 164,Kolding,5466,DK,+45544149673,DK9075136156800142
Ali,Popescu,1968-12-04,Hauptstraße 153,Nürnberg,25725,DE,+49192692124,DE13260497667272039281
Rüdiger,Wächter,1967-09-24,Kirchgasse 46,Hamburg,28857,DE,+49863917410,DE35052481696279559448
Kirsten,Skjøtt,1968-11-15,Nørregade 99,Randers,9770,DK,+45554601585,DK8404761031686306
Nguyen,Yılmaz,2001-11-22,Pöyrytie 152,Turku,59164,FI,+358847870050,FI1437426598572074
Günter,Schäfer,1959-04-16,Schäferweg 180,Düsseldorf,32577,DE,+49041792911,DE53156023874165392010
Käthe,Weiß,1979-11-10,Lindenallee 43,Hamburg,86282,DE,+49021962071,DE76010684876265496014
Kjærstin,Åkerlund,1975-03-21,Åboulevard 2,Aalborg,2925,DK,+45819588373,DK0821769416062438
Fatima,Nguyen,2004-03-12,Vestergade 8,Randers,2901,DK,+45137995635,DK8821224180504261
Rüdiger,Weiß,1969-05-31,Müllerstraße 52,Frankfurt am Main,14206,DE,+49904217762,DE89722179955245824404
Råsmus,Møgelvang,1958-06-16,Kongensgade 152,Odense,7844,DK,+45007806867,DK3986040764232906
Björg,Nüsslein,1970-06-09,Hauptstraße 117,Hamburg,63131,DE,+49257016580,DE72276652663959303403
Örn,Pöyhönen,1968-03-10,Hämeenkatu 86,Turku,93589,FI,+358933554864,FI0503458458843669
Piotr,Popescu,1983-11-15,Østergade 101,Odense,2260,DK,+45124127238,DK7590469447010885
Sönke,Kühn,1997-12-12,Wächterweg 171,Würzburg,70031,DE,+49492424375,DE17970341972986612031
Amira,Kowalski,1971-04-10,Brühlstraße 82,Frankfurt am Main,58878,DE,+49782841067,DE57799195562897967793
Björn,Krüger,1985-08-22,Brühlstraße 142,Köln,13250,DE,+49693751509,DE36652920546051369931
Ærlig,Sørensen,1985-08-22,Strøget 89,Kolding,8300,DK,+45813767426,DK2574851395395306
Piotr,Hassan,1983-12-21,Schäferweg 48,Stuttgart,82596,DE,+49704947873,DE89002984684462129075
Ritva,Mäkelä,1981-04-14,Töölönkatu 132,Helsinki,30695,FI,+358025725204,FI1636902601675133
Bodil,Åkerlund,1970-11-23,Østergade 137,Kolding,1211,DK,+45284576521,DK1525875698778491
Olga,Petrov,1997-08-25,Grünstraße 93,Düsseldorf,88335,DE,+49852401322,DE98632947104410654903
Elena,Rossi,1989-07-16,Wächterweg 52,Düsseldorf,13835,DE,+49124955289,DE72250502129590257354
Olga,Demir,1994-07-26,Åboulevard 55,Aalborg,2848,DK,+45517182754,DK2850312639452810
Ærlig,Løvgren,1967-06-09,Nørregade 173,Randers,7494,DK,+45781126691,DK2078131284244775
Møgens,Åkerlund,2001-06-21,Frederiksberggade 171,Vejle,9379,DK,+45427114773,DK1361000693616007
Øystein,Bjørnholm,2003-04-16,Kløvervej 128,Randers,5287,DK,+45858800616,DK1248401678143375
Renée,Nüsslein,1972-01-09,Rosenstraße 122,Würzburg,76412,DE,+49064796954,DE81300837083033362659
Sönke,Schröder,1961-05-09,Hauptstraße 138,Frankfurt am Main,70412,DE,+49698640790,DE78933581635736344878
Päivi,Söderholm,1966-04-02,Kauppakatu 103,Turku,84197,FI,+358954198763,FI6130852634256586
Agnieszka,Rossi,1996-11-29,Näätätie 120,Oulu,82844,FI,+358083572324,FI3684896822162210
Ejgil,Kærgaard,1976-02-14,Åboulevard 109,København,3610,DK,+45420448207,DK5470832098683882
Örjan,Ylönen,2002-07-16,Näätätie 149,Oulu,21343,FI,+358915596363,FI3811942543934698
Ærlig,Bjørnholm,1962-11-27,Nørregade 166,København,4926,DK,+45486451837,DK7339392082289687
Andrei,Kaya,1995-11-23,Rosenstraße 106,Frankfurt am Main,23159,DE,+49248156985,DE77400667146301598786
Ejgil,Bæk,1983-04-13,Strøget 45,Kolding,4254,DK,+45165266930,DK3299669917144203
Hassan,Wojcik,1968-08-19,Ærøvej 117,Randers,4677,DK,+45334476263,DK4169264412269364
Ivan,Demir,1995-12-23,Brühlstraße 55,Stuttgart,88275,DE,+49411800537,DE49999957026333955259
Ivan,Wojcik,1986-02-08,Vestergade 67,Aarhus,1723,DK,+45274564494,DK9854174959641014
Jörg,Kühn,2001-07-13,Hauptstraße 114,Frankfurt am Main,69999,DE,+49712151342,DE09878562907192403291
Jörg,Grün,1999-04-16,Königsallee 8,Köln,96447,DE,+49774905097,DE97377952063009331980
Marco,Petrov,1968-10-26,Kløvervej 168,Odense,5891,DK,+45764925158,DK9314326043160596
Ritva,Ylönen,1984-01-30,Näätätie 166,Espoo,69547,FI,+358174224386,FI7820001406522051
Katarzyna,Demir,1984-09-14,Mannerheimintie 22,Kuopio,50701,FI,+358779452321,FI1976815011468964
Sisko,Kääriäinen,1969-03-22,Rautatienkatu 78,Espoo,27114,FI,+358310303723,FI3846713440117948
Kalevi,Kääriäinen,1967-03-19,Mannerheimintie 86,Helsinki,90967,FI,+358667998407,FI7035799820055268
Ännchen,Vogtländer,1972-06-22,Grünstraße 112,München,47750,DE,+49375738395,DE09987487349634912604
Agnieszka,Nowak,1985-03-30,Löwenplatz 107,Hamburg,40765,DE,+49380054522,DE40880046122330821656
Reijo,Väisänen,1967-02-21,Jääkarhuntie 29,Espoo,81142,FI,+358812135247,FI0774813812970842
Ülkü,Weiß,1971-08-08,Brühlstraße 171,Nürnberg,79422,DE,+49632666785,DE44947750347430915997
Råsmus,Rønne,1986-02-22,Kløvervej 180,Esbjerg,6638,DK,+45048926738,DK8466438678053785
Väinämö,Örnberg,1972-05-10,Pörssikatu 134,Jyväskylä,12128,FI,+358894346810,FI9182517945032757
Lærke,Skjøtt,1970-07-23,Bredgade 77,Esbjerg,7187,DK,+45831589357,DK0607800844355532
Wolfgang,Kühn,1970-12-13,Grünstraße 107,Düsseldorf,76294,DE,+49277288137,DE54479396415013934715
Röschen,Hübner,1968-12-22,Königsallee 126,München,81766,DE,+49510679497,DE95974767544483764235
Bodil,Østergaard,1985-09-16,Skovgårdsvej 43,København,3028,DK,+45813989098,DK5014819107278486
Ali,Novak,1960-02-28,Kirchgasse 47,Stuttgart,79193,DE,+49564111824,DE32120341630033433812
Ejgil,Ørskov,1968-04-28,Ærøvej 130,Vejle,5412,DK,+45057861706,DK1169055176154857
Käthe,Röder,1998-07-12,Lindenallee 109,Würzburg,15477,DE,+49079420074,DE21583365507533115246
Ejnar,Ærø,1980-01-24,Ærøvej 116,Esbjerg,6269,DK,+45537950209,DK7749648775760086
Jukka,Särkelä,1958-10-04,Töölönkatu 100,Tampere,25573,FI,+358537030453,FI6406372432972183
Ejgil,Løvgren,1963-11-12,Rådhuspladsen 50,Odense,3101,DK,+45124938430,DK3096525496909492
Sisko,Ylönen,1962-03-19,Rautatienkatu 12,Turku,45530,FI,+358875063519,FI6589269913060407
Frøya,Kjærgaard,1962-11-19,Frederiksberggade 62,Kolding,6465,DK,+45831997179,DK5819938670806410
Jörn,Bäcker,1958-12-14,Wächterweg 106,Nürnberg,69429,DE,+49676991507,DE88551075891534611015
Sisko,Söderholm,1971-03-24,Kauppakatu 139,Tampere,70416,FI,+358954508920,FI4128503962014646
Ejnar,Søby,1972-07-23,Strøget 108,Kolding,2717,DK,+45707303379,DK0924788348003514
Sisko,Järvinen,1983-06-28,Mannerheimintie 51,Turku,32324,FI,+358425832302,FI0289063719328699
Åse,Kjærgaard,1975-03-14,Vestergade 34,Aalborg,9725,DK,+45655963099,DK5515730788982046
Matthäus,Weiß,1974-01-22,Rosenstraße 133,Hamburg,52182,DE,+49587774969,DE17628422431820725205
Ülkü,Löwe,1982-06-30,Gänseblümchenweg 128,Frankfurt am Main,60118,DE,+49027341514,DE42856790002133862799
Bodil,Sørensen,1989-02-05,Ærøvej 77,Esbjerg,7616,DK,+45690782633,DK6372255483084944
Mateusz,Hassan,1989-10-26,Strøget 3,Randers,6567,DK,+45366684590,DK3550199579533903
Wolfgang,Böhm,1973-12-08,Bahnhofstraße 44,Köln,14202,DE,+49970231643,DE46260051841154098124
Eija,Nyström,2003-01-30,Pörssikatu 151,Turku,97569,FI,+358430271693,FI8459845728477268
Günter,Löwe,1966-07-28,Rosenstraße 99,Düsseldorf,61583,DE,+49032484137,DE90471375741200664331
Sören,Grün,1999-05-23,Brühlstraße 119,Hamburg,18943,DE,+49183727422,DE12861171602417854065
Örjan,Kääriäinen,1962-09-14,Pöyrytie 79,Lahti,86104,FI,+358063353310,FI3349316287811413
Nguyen,Demir,1977-03-07,Käpyläntie 31,Turku,23465,FI,+358520650637,FI4826260847497795
Ivan,Demir,1987-10-16,Brühlstraße 178,Düsseldorf,32980,DE,+49571509976,DE43575700712420142362
Reijo,Kärkkäinen,1961-07-21,Hämeenkatu 72,Jyväskylä,76910,FI,+358640355338,FI9709986285160490
